model,type,family,run_idx,sentence,reason
claude-sonnet-4.6-think,LRM,claude,12,The wound the nurse treated healed faster than expected.,wrong length: 9 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,12,The crop the agronomist fertilized flourished through the dry summer.,wrong length: 10 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,14,The letter that the lawyer drafted was signed by the judge.,wrong length: 11 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,14,The bridge that the engineers designed collapsed during the storm.,wrong length: 10 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,14,The painting that the artist restored sold for millions at auction.,wrong length: 11 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,14,The report that the committee reviewed was published in the journal.,wrong length: 11 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,14,The dog that the trainer rescued competed in the championship.,wrong length: 10 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,16,The cake my mother baked disappeared within minutes.,wrong length: 8 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,16,The report the intern submitted contained several errors.,wrong length: 8 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,16,The song the children sang echoed through the empty hall.,wrong length: 10 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,16,The letter she wrote arrived three weeks later.,wrong length: 8 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,16,The painting the artist created sold for a record price.,wrong length: 10 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,19,The report that the committee reviewed last week contained several critical errors.,wrong length: 12 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,19,The dog that the children found wandering near the school was reunited with its owner.,wrong length: 15 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,19,The bridge that the engineers inspected after the storm required immediate structural repairs.,wrong length: 13 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,19,The novel that the professor assigned during the first week became the students' favorite.,wrong length: 14 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,19,The letter that the lawyer drafted on Tuesday changed the outcome of the entire case.,wrong length: 15 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,22,The woman carrying the heavy basket stumbled on the uneven path.,wrong length: 11 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,22,The soldier wounded in battle received a medal of honor.,wrong length: 10 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,22,The dog chasing the frightened rabbit disappeared into the woods.,wrong length: 10 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,22,The children playing near the old fountain laughed loudly.,wrong length: 9 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,22,The letter sent by the anonymous stranger changed everything.,wrong length: 9 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,23,The cat that the dog chased climbed the tall oak tree.,wrong length: 11 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,23,The letter that the lawyer wrote confused the entire jury.,wrong length: 10 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,23,The bridge that the engineer designed collapsed without warning.,wrong length: 9 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,23,The song that the composer created moved the audience to tears.,wrong length: 11 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,23,The report that the manager reviewed contained several critical errors.,wrong length: 10 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,24,The professor that the students admired retired last year.,wrong length: 9 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,24,The novel that the critic praised won several awards.,wrong length: 9 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,24,The scientist that the committee selected received a prestigious grant.,wrong length: 10 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,24,The child that the teacher noticed struggled with reading.,wrong length: 9 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,29,The dog the cat chased escaped through the fence.,wrong length: 9 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,29,The book the professor assigned confused the students.,wrong length: 8 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,29,The cake the baker made disappeared before noon.,wrong length: 8 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,29,The letter the secretary typed contained several errors.,wrong length: 8 words (expected 6 or 7)
claude-sonnet-4.6-think,LRM,claude,29,The man the woman admired moved to another city.,wrong length: 9 words (expected 6 or 7)
deepseek-r1,LRM,deepseek,9,The book I borrowed yesterday contained valuable information.,wrong length: 8 words (expected 6 or 7)
deepseek-r1,LRM,deepseek,9,The solution the scientist proposed solved the complex equation.,wrong length: 9 words (expected 6 or 7)
deepseek-r1,LRM,deepseek,9,The song the band played energized the crowd.,wrong length: 8 words (expected 6 or 7)
deepseek-r1,LRM,deepseek,9,The instructions the teacher gave clarified the assignment completely.,wrong length: 9 words (expected 6 or 7)
deepseek-r1,LRM,deepseek,21,The chef who prepared the meal received applause.,relative pronoun: who
deepseek-r1,LRM,deepseek,21,The musician that wrote the song performed it live.,wrong length: 9 words (expected 6 or 7)
deepseek-r1,LRM,deepseek,21,The book that captivated readers became a bestseller.,wrong length: 8 words (expected 6 or 7)
deepseek-r1,LRM,deepseek,21,The scientist who discovered the element won a prize.,relative pronoun: who
deepseek-r1,LRM,deepseek,21,The gardener who planted the roses tends them daily.,relative pronoun: who
deepseek-r1,LRM,deepseek,25,The light the storm knocked out flickered weakly.,wrong length: 8 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,3,"The student, who had studied diligently, received the highest grade in the class.",relative pronoun: who
deepseek-v3,LLM,deepseek,3,"The book, which was written by a famous author, became an instant bestseller.",relative pronoun: which
deepseek-v3,LLM,deepseek,3,"The dog, that barked loudly all night, kept the neighbors awake.",wrong length: 11 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,3,"The teacher, who had been working tirelessly, finally decided to take a break.",relative pronoun: who
deepseek-v3,LLM,deepseek,3,"The painting, which was created by a renowned artist, sold for millions at the auction.",relative pronoun: which
deepseek-v3,LLM,deepseek,4,The dog leash tangles twists.,wrong length: 5 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,4,The cake frosting drips slides.,wrong length: 5 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,4,The book pages flutter fall.,wrong length: 5 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,4,The car engine sputters stalls.,wrong length: 5 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,4,The tree leaves rustle sway.,wrong length: 5 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,5,The book that I borrowed inspires motivates.,"pos 3 is ""i"", expected det (the/a)"
deepseek-v3,LLM,deepseek,5,The dog that barks loudly sleeps dreams.,"pos 3 is ""barks"", expected det (the/a)"
deepseek-v3,LLM,deepseek,5,The car that he bought accelerates stops.,"pos 3 is ""he"", expected det (the/a)"
deepseek-v3,LLM,deepseek,5,The cake that she baked smells tastes.,"pos 3 is ""she"", expected det (the/a)"
deepseek-v3,LLM,deepseek,5,The phone that rings constantly distracts annoys.,"pos 3 is ""rings"", expected det (the/a)"
deepseek-v3,LLM,deepseek,8,"The carpenter carved the wooden table, and it was placed in the dining room.",coordination (and/or)
deepseek-v3,LLM,deepseek,8,"The artist painted the old vase, and it became a centerpiece.",coordination (and/or)
deepseek-v3,LLM,deepseek,8,"The engineer upgraded the computer, and it ran faster.",coordination (and/or)
deepseek-v3,LLM,deepseek,8,"The tailor altered the dress, and it fit perfectly.",coordination (and/or)
deepseek-v3,LLM,deepseek,8,"The mechanic repaired the bicycle, and it rode smoothly.",coordination (and/or)
deepseek-v3,LLM,deepseek,9,The cake frosting melted drip.,wrong length: 5 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,9,The dog leash snapped release.,wrong length: 5 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,9,The car engine roared accelerate.,wrong length: 5 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,9,The book pages flipped scatter.,wrong length: 5 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,9,The tree branch cracked fall.,wrong length: 5 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,13,The book that I borrowed from the library fell apart.,wrong length: 10 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,13,The dog that barked all night kept everyone awake.,wrong length: 9 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,13,The cake that she baked for the party disappeared quickly.,wrong length: 10 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,13,The car that he bought last week already broke down.,wrong length: 10 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,13,The painting that hung in the hallway was sold at auction.,wrong length: 11 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,16,The vase shattered into pieces when John accidentally knocked it off the table.,wrong length: 13 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,16,The paper crumpled as Sarah hastily folded it into a small square.,wrong length: 12 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,16,The car door dented after Mark slammed it shut with too much force.,wrong length: 13 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,16,The cake collapsed under the weight of the frosting Emily piled on top.,wrong length: 13 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,16,The laptop screen cracked when Alex dropped it onto the hardwood floor.,wrong length: 12 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,17,The song the singer performed captivated the audience.,wrong length: 8 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,19,The book that I borrowed yesterday fell.,"pos 3 is ""i"", expected det (the/a)"
deepseek-v3,LLM,deepseek,19,The dog that barked all night slept.,"pos 3 is ""barked"", expected det (the/a)"
deepseek-v3,LLM,deepseek,19,The car that we rented broke down.,"pos 3 is ""we"", expected det (the/a)"
deepseek-v3,LLM,deepseek,19,The cake that she baked tasted amazing.,"pos 3 is ""she"", expected det (the/a)"
deepseek-v3,LLM,deepseek,19,The phone that he dropped stopped working.,"pos 3 is ""he"", expected det (the/a)"
deepseek-v3,LLM,deepseek,21,Dog park runs plays.,wrong length: 4 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,21,Teacher student teaches learns.,wrong length: 4 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,21,Car engine starts stops.,wrong length: 4 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,21,Book reader reads finishes.,wrong length: 4 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,21,Bird nest builds flies.,wrong length: 4 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,25,The book that she recommended captivated the readers.,wrong length: 8 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,25,The dog that barked loudly startled the neighbors.,wrong length: 8 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,25,The cake that he baked delighted everyone at the party.,wrong length: 10 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,25,The painting that they admired inspired awe in the viewers.,wrong length: 10 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,25,The song that played on the radio lifted their spirits.,wrong length: 10 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,26,The book that I borrowed is missing.,"pos 3 is ""i"", expected det (the/a)"
deepseek-v3,LLM,deepseek,26,The dog that barks loudly is my neighbor's.,wrong length: 8 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,26,The cake that she baked tastes delicious.,"pos 3 is ""she"", expected det (the/a)"
deepseek-v3,LLM,deepseek,26,The car that he drives is very expensive.,wrong length: 8 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,26,The teacher who taught me retired last year.,relative pronoun: who
deepseek-v3,LLM,deepseek,27,The teacher whom the students admire inspires creativity.,relative pronoun: whom
deepseek-v3,LLM,deepseek,27,The chef who the critics praised prepares exquisite dishes.,relative pronoun: who
deepseek-v3,LLM,deepseek,27,The artist who the museum displayed creates stunning sculptures.,relative pronoun: who
deepseek-v3,LLM,deepseek,28,The book that I borrowed from the library that you recommended was fascinating.,wrong length: 13 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,28,The car that my neighbor bought that had been sitting in the garage for years finally started.,wrong length: 17 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,28,The cake that the baker made that everyone raved about was delicious.,wrong length: 12 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,28,The dog that the trainer adopted that had been abandoned by its previous owner was very playful.,wrong length: 17 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,28,The movie that the director filmed that won several awards was inspiring.,wrong length: 12 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,29,The car the mechanic repaired broke down again.,wrong length: 8 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,29,The book the author wrote became a bestseller.,wrong length: 8 words (expected 6 or 7)
deepseek-v3,LLM,deepseek,30,"The book, which was written by a renowned author, captivated readers with its intricate plot.",relative pronoun: which
deepseek-v3,LLM,deepseek,30,"The dog, who barked incessantly at strangers, made the neighborhood feel secure.",relative pronoun: who
deepseek-v3,LLM,deepseek,30,"The painting, which depicted a serene landscape, brought peace to the viewer's mind.",relative pronoun: which
deepseek-v3,LLM,deepseek,30,"The song, which was performed by a talented musician, moved the audience to tears.",relative pronoun: which
deepseek-v3,LLM,deepseek,30,"The tree, whose branches swayed gracefully in the wind, provided shade on a hot day.",relative pronoun: whose
gemini-3.5-flash,LLM,gemini,3,The book that she read fell.,"pos 2 is ""that"", expected det (the/a)"
gemini-3.5-flash,LLM,gemini,3,A child whom they helped smiled.,relative pronoun: whom
gemini-3.5-flash,LLM,gemini,3,The puppy that I bought slept.,"pos 2 is ""that"", expected det (the/a)"
gemini-3.5-flash,LLM,gemini,3,Every student whom we called graduated.,relative pronoun: whom
gemini-3.5-flash,LLM,gemini,3,The ship that he built sank.,"pos 2 is ""that"", expected det (the/a)"
gemini-3.5-flash,LLM,gemini,7,The cake I baked fell.,wrong length: 5 words (expected 6 or 7)
gemini-3.5-flash,LLM,gemini,7,The car they bought stalled.,wrong length: 5 words (expected 6 or 7)
gemini-3.5-flash,LLM,gemini,7,The program she wrote failed.,wrong length: 5 words (expected 6 or 7)
gemini-3.5-flash,LLM,gemini,7,The package we sent arrived.,wrong length: 5 words (expected 6 or 7)
gemini-3.5-flash,LLM,gemini,7,The athlete you mentioned tripped.,wrong length: 5 words (expected 6 or 7)
gemini-3.5-flash,LLM,gemini,9,The book I bought fell.,wrong length: 5 words (expected 6 or 7)
gemini-3.5-flash,LLM,gemini,9,The man she met smiled.,wrong length: 5 words (expected 6 or 7)
gemini-3.5-flash,LLM,gemini,9,The car they drove crashed.,wrong length: 5 words (expected 6 or 7)
gemini-3.5-flash,LLM,gemini,9,The letter you wrote arrived.,wrong length: 5 words (expected 6 or 7)
gemini-3.5-flash,LLM,gemini,9,The dog we chased ran.,wrong length: 5 words (expected 6 or 7)
gemini-3.5-flash,LLM,gemini,10,The cake my mother baked collapsed.,"pos 2 is ""my"", expected det (the/a)"
gemini-3.5-flash,LLM,gemini,10,The book I read yesterday vanished.,"pos 2 is ""i"", expected det (the/a)"
gemini-3.5-flash,LLM,gemini,10,The letter you sent arrived.,wrong length: 5 words (expected 6 or 7)
gemini-3.5-flash,LLM,gemini,10,The project we started failed.,wrong length: 5 words (expected 6 or 7)
gemini-3.5-flash,LLM,gemini,12,The book I bought fell.,wrong length: 5 words (expected 6 or 7)
gemini-3.5-flash,LLM,gemini,12,The letter she wrote arrived.,wrong length: 5 words (expected 6 or 7)
