model,type,family,run_idx,sentence
deepseek-r1,LRM,deepseek,1,The seed the soil the rain the cloud nourished soaked softened sprouted.
deepseek-r1,LRM,deepseek,2,the table the cheese the mouse the cat chased nibbled soiled collapsed.
deepseek-r1,LRM,deepseek,2,the king the knight the princess the dragon captured threatened warned worried.
deepseek-r1,LRM,deepseek,2,the school the principal the teacher the student admired commended managed flourished.
deepseek-r1,LRM,deepseek,2,the family the house the roof the rain pounded protected sheltered slept.
deepseek-r1,LRM,deepseek,2,the boy the drink the ice the sun melted cooled refreshed smiled.
deepseek-r1,LRM,deepseek,3,The mountain the valley the river the forest towered sprawled flowed flourished.
deepseek-r1,LRM,deepseek,3,The teacher the student the book the lesson explained listened read learned.
deepseek-r1,LRM,deepseek,3,The chef the knife the ingredients the meal chopped stirred cooked served.
deepseek-r1,LRM,deepseek,3,The wind the leaves the branches the trees rustled swayed creaked bent.
deepseek-r1,LRM,deepseek,3,The conductor the orchestra the audience the symphony directed played applauded ended.
deepseek-r1,LRM,deepseek,4,"The king, the knight, the dragon, the princess subdued, obeyed, protected, reigned."
deepseek-r1,LRM,deepseek,4,"The tree, the squirrel, the acorn, the storm dislodged, struck, climbed, swayed."
deepseek-r1,LRM,deepseek,4,"The teacher, the student, the textbook, the author revised, studied, assisted, lectured."
deepseek-r1,LRM,deepseek,4,"The mountain, the hiker, the path, the landslide buried, blocked, ascended, towered."
deepseek-r1,LRM,deepseek,4,"The chef, the customer, the meal, the waiter served, enjoyed, thanked, cooked."
deepseek-r1,LRM,deepseek,6,The wind the leaves the trees the branches rustles shakes bends sways.
deepseek-r1,LRM,deepseek,6,The sun the sea the waves the sand shines sparkles crashes spreads.
deepseek-r1,LRM,deepseek,6,The chef the knife the onion the pan chops dices sizzles fries.
deepseek-r1,LRM,deepseek,6,The cat the mouse the hole the cheese chases scurries hides nibbles.
deepseek-r1,LRM,deepseek,6,The clock the hour the minute the second ticks tocks moves advances.
deepseek-r1,LRM,deepseek,7,"The chef, the waiter, the customer, the meal praised, enjoyed, served, prepared."
deepseek-r1,LRM,deepseek,7,"The king, the knight, the dragon, the treasure guarded, fought, protected, ruled."
deepseek-r1,LRM,deepseek,7,"The baker, the dough, the oven, the bread baked, heated, rose, kneaded."
deepseek-r1,LRM,deepseek,7,"The teacher, the student, the book, the lesson explained, read, studied, taught."
deepseek-r1,LRM,deepseek,8,The cat the dog the ball the tree jumped ran rolled fell.
deepseek-r1,LRM,deepseek,8,The sun the moon the stars the sky shone glowed twinkled darkened.
deepseek-r1,LRM,deepseek,8,The king the queen the prince the princess ruled waved smiled bowed.
deepseek-r1,LRM,deepseek,8,The wind the rain the thunder the lightning blew poured rumbled flashed.
deepseek-r1,LRM,deepseek,8,The car the bike the bus the train accelerated braked stopped arrived.
deepseek-r1,LRM,deepseek,9,the ball the child the dog the man threw chased kicked bounced.
deepseek-r1,LRM,deepseek,9,the window the student the teacher the principal reprimanded scolded broke shattered.
deepseek-r1,LRM,deepseek,9,the cake the baker the assistant the chef instructed supervised decorated cooled.
deepseek-r1,LRM,deepseek,9,the letter the clerk the manager the director approved reviewed signed arrived.
deepseek-r1,LRM,deepseek,9,the door the guard the visitor the officer questioned frisked opened creaked.
deepseek-r1,LRM,deepseek,10,The cake that the child that the baker that the customer praised instructed sampled tasted delicious.
deepseek-r1,LRM,deepseek,10,The report that the manager that the analyst that the intern assisted trained wrote impressed everyone.
deepseek-r1,LRM,deepseek,10,The theorem that the professor that the student that the university recruited mentored proved revolutionized mathematics.
deepseek-r1,LRM,deepseek,19,"The cat, the dog, the bird, the fish swam, chirped, barked, purred."
deepseek-r1,LRM,deepseek,19,"The wind, the leaves, the rain, the sun shone, fell, rustled, blew."
deepseek-r1,LRM,deepseek,19,"The teacher, the students, the books, the bell rang, opened, studied, taught."
deepseek-r1,LRM,deepseek,19,"The chef, the waiter, the customers, the food arrived, ate, served, cooked."
deepseek-r1,LRM,deepseek,19,"The car, the bike, the bus, the train departed, stopped, raced, accelerated."
deepseek-r1,LRM,deepseek,23,"The mountain, the river, the forest, the sky darkened, rustled, flowed, stood."
deepseek-r1,LRM,deepseek,23,"The lion, the deer, the rabbit, the owl hooted, hopped, grazed, roared."
deepseek-r1,LRM,deepseek,23,"The book, the pen, the paper, the desk creaked, rustled, wrote, opened."
deepseek-r1,LRM,deepseek,23,"The morning, the sun, the clouds, the breeze blew, drifted, rose, began."
deepseek-r1,LRM,deepseek,23,"The chef, the knife, the vegetables, the stove heated, sizzled, chopped, cooked."
deepseek-r1,LRM,deepseek,24,The sun the moon the stars the sky sparkled shone faded twinkled.
deepseek-r1,LRM,deepseek,24,The cat the dog the ball the park chased barked played fetched.
deepseek-r1,LRM,deepseek,24,The teacher the student the book the pen lectured studied read wrote.
deepseek-r1,LRM,deepseek,24,The wind the leaves the trees the branches rustled shook swayed bent.
deepseek-r1,LRM,deepseek,24,The child the toy the parent the pet hugged watched smiled played.
deepseek-r1,LRM,deepseek,25,The king the knight the dragon the princess rescued defeated praised laughed.
deepseek-r1,LRM,deepseek,25,The teacher the student the book the author wrote inspired discussed yawned.
deepseek-r1,LRM,deepseek,25,The dog the cat the mouse the cheese ate chased frightened slept.
deepseek-r1,LRM,deepseek,25,The sun the rain the cloud the wind formed produced obscured shone.
deepseek-r1,LRM,deepseek,25,The audience the actor the script the writer wrote inspired moved applauded.
deepseek-r1,LRM,deepseek,26,"The ocean, the sea, the bay, the pond; drip, flow, surge, flood."
deepseek-r1,LRM,deepseek,26,"The nation, the province, the city, the neighborhood; whisper, speak, announce, broadcast."
deepseek-r1,LRM,deepseek,26,"The forest, the grove, the tree, the leaf; tremble, sway, bend, flourish."
deepseek-r1,LRM,deepseek,26,"The century, the decade, the year, the day; blink, pass, progress, unfold."
deepseek-v3,LLM,deepseek,8,The book the author the publisher the editor reviewed revised approved published.
deepseek-v3,LLM,deepseek,8,The painting the artist the gallery the curator examined framed displayed unveiled.
deepseek-v3,LLM,deepseek,8,The software the developer the client the tester debugged optimized deployed launched.
deepseek-v3,LLM,deepseek,8,The sculpture the sculptor the museum the director polished mounted showcased celebrated.
deepseek-v3,LLM,deepseek,8,The film the director the studio the producer edited promoted premiered screened.
deepseek-v3,LLM,deepseek,16,the book the author the editor the reader writes edits publishes reads.
deepseek-v3,LLM,deepseek,16,the cake the baker the decorator the customer bakes decorates delivers enjoys.
deepseek-v3,LLM,deepseek,16,the song the composer the singer the audience composes performs listens applauds.
deepseek-v3,LLM,deepseek,16,the painting the artist the curator the viewer creates displays admires critiques.
deepseek-v3,LLM,deepseek,16,the code the developer the tester the user writes tests debugs uses.
deepseek-v3,LLM,deepseek,17,the book the author the revised the editor published reviewed edited finalized.
deepseek-v3,LLM,deepseek,17,the painting the artist the intricate the curator displayed analyzed restored showcased.
deepseek-v3,LLM,deepseek,17,the software the developer the updated the tester debugged optimized deployed launched.
deepseek-v3,LLM,deepseek,17,the sculpture the sculptor the polished the gallery exhibited admired photographed acquired.
deepseek-v3,LLM,deepseek,17,the recipe the chef the perfected the apprentice prepared tasted adjusted served.
deepseek-v3,LLM,deepseek,20,The book the teacher the student the principal recommended reviewed approved astonished.
deepseek-v3,LLM,deepseek,20,The cake the baker the customer the manager decorated served admired delighted.
deepseek-v3,LLM,deepseek,20,The painting the artist the curator the director created displayed discussed inspired.
deepseek-v3,LLM,deepseek,20,The song the musician the producer the listener composed performed recorded moved.
deepseek-v3,LLM,deepseek,20,The plan the engineer the architect the client designed proposed implemented impressed.
deepseek-v3,LLM,deepseek,21,The book the teacher the student the librarian read discussed analyzed vanished.
deepseek-v3,LLM,deepseek,21,The painting the curator the artist the critic admired studied interpreted disappeared.
deepseek-v3,LLM,deepseek,21,The sculpture the historian the sculptor the collector examined praised debated vanished.
deepseek-v3,LLM,deepseek,21,The manuscript the author the editor the publisher wrote revised edited disappeared.
deepseek-v3,LLM,deepseek,21,The artifact the archaeologist the historian the researcher discovered studied documented vanished.
gemini-3.5-flash,LLM,gemini,1,The dog the cat the mouse the cheese attracted bit chased ran.
gemini-3.5-flash,LLM,gemini,1,The coder the manager the client the designer hired criticized fired quit.
gemini-3.5-flash,LLM,gemini,1,The patient the doctor the nurse the patient liked trusted thanked recovered.
gemini-3.5-flash,LLM,gemini,1,The student the teacher the principal the parent called questioned scolded smiled.
gemini-3.5-flash,LLM,gemini,1,The book the student the teacher the librarian helped read graded lost.
gemini-3.5-flash,LLM,gemini,2,The cheese the rat the cat the dog chased caught ate smelled.
gemini-3.5-flash,LLM,gemini,2,The program the computer the technician the engineer called fixed ran crashed.
gemini-3.5-flash,LLM,gemini,2,The letter the boy the girl the teacher helped wrote mailed arrived late.
gemini-3.5-flash,LLM,gemini,3,The chef the waiter the customer the manager blamed scolded fired praised.
gemini-3.5-flash,LLM,gemini,3,The dog the cat the mouse the cheese attracted startled scratched bit.
gemini-3.5-flash,LLM,gemini,3,The teacher the student the parent the principal called worried embarrassed suspended.
gemini-3.5-flash,LLM,gemini,4,The pizza the boy the dog the cat scratched bit ate dropped.
gemini-3.5-flash,LLM,gemini,4,The report the intern the manager the director hired questioned approved filed.
gemini-3.5-flash,LLM,gemini,4,The software the developer the tester the client called blamed praised released.
gemini-3.5-flash,LLM,gemini,4,The song the singer the writer the producer criticized inspired recorded failed.
gemini-3.5-flash,LLM,gemini,4,The car the mechanic the driver the owner sued blamed repaired crashed.
gemini-3.5-flash,LLM,gemini,5,The dog the cat the mouse the cheese attracted bit chased barked.
gemini-3.5-flash,LLM,gemini,5,The reporter the senator the lobbyist the citizen bribed influenced questioned resigned.
gemini-3.5-flash,LLM,gemini,5,The criminal the detective the cop the witness identified assisted captured confessed.
gemini-3.5-flash,LLM,gemini,5,The child the teacher the principal the superintendent hired blamed disciplined cried.
gemini-3.5-flash,LLM,gemini,6,The patient the nurse the doctor the intern assisted supervised monitored recovered.
gemini-3.5-flash,LLM,gemini,6,The report the intern the analyst the manager hired wrote reviewed submitted.
gemini-3.5-flash,LLM,gemini,6,The song the child the student the teacher mentored sang liked remembered.
gemini-3.5-flash,LLM,gemini,6,The painting the guest the artist the museum invited praised admired purchased.
gemini-3.5-flash,LLM,gemini,6,The car the driver the mechanic the inspector warned fixed crashed stopped.
gemini-3.5-flash,LLM,gemini,7,The mouse the cat the dog the boy chased bit scratched fled.
gemini-3.5-flash,LLM,gemini,7,The book the student the teacher the principal praised recommended read closed.
gemini-3.5-flash,LLM,gemini,7,The cheese the rat the ferret the owl hunted stole ate disappeared.
gemini-3.5-flash,LLM,gemini,7,The report the intern the manager the director questioned drafted reviewed leaked.
gemini-3.5-flash,LLM,gemini,7,The masterpiece the artist the collector the museum hired painted bought vanished.
gemini-3.5-flash,LLM,gemini,8,The dog the cat the rat the cheese ate bit chased barked.
gemini-3.5-flash,LLM,gemini,8,The manager the supervisor the clerk the customer scolded warned assisted thanked.
gemini-3.5-flash,LLM,gemini,8,The boy the girl the teacher the principal praised questioned comforted hugged.
gemini-3.5-flash,LLM,gemini,8,The scientist the assistant the student the professor questioned trained helped respected.
gemini-3.5-flash,LLM,gemini,8,The artist the model the photographer the designer hired posed clicked painted.
gemini-3.5-flash,LLM,gemini,9,The patient the doctor the nurse the intern assisted supervised cured survived.
gemini-3.5-flash,LLM,gemini,9,The boy the girl the dog the cat scratched bit chased loved smiled.
gemini-3.5-flash,LLM,gemini,9,The actor the director the writer the agent hired inspired admired left.
gemini-3.5-flash,LLM,gemini,9,The student the teacher the principal the inspector questioned supported suspended cried.
gemini-3.5-flash,LLM,gemini,10,The cheese the rat the cat the dog chased caught ate smelled.
gemini-3.5-flash,LLM,gemini,10,The report the assistant the manager the executive hired questioned completed lost.
gemini-3.5-flash,LLM,gemini,10,The program the intern the developer the architect mentored coded tested crashed.
gemini-3.5-flash,LLM,gemini,10,The painting the thief the detective the police chief suspected stole hid vanished.
gemini-3.5-flash,LLM,gemini,10,The book the student the teacher the principal praised read reviewed misplaced.
gemini-3.5-flash,LLM,gemini,11,The chef the critic the writer the blogger mentioned praised disliked fired.
gemini-3.5-flash,LLM,gemini,11,The dog the cat the rat the beetle chased caught scratched bit.
gemini-3.5-flash,LLM,gemini,11,The student the teacher the principal the superintendent suspended reprimanded questioned thanked.
gemini-3.5-flash,LLM,gemini,11,The artist the collector the dealer the thief targeted outsmarted sued painted.
gemini-3.5-flash,LLM,gemini,11,The child the nurse the doctor the surgeon helped consulted scolded loved.
gemini-3.5-flash,LLM,gemini,12,The mouse the cat the dog the master owned chased scratched died.
gemini-3.5-flash,LLM,gemini,12,The book the student the teacher the principal hired praised read burned.
gemini-3.5-flash,LLM,gemini,12,The cheese the rat the feline the canine chased snatched nibbled spoiled.
gemini-3.5-flash,LLM,gemini,12,The report the intern the manager the director promoted supervised wrote leaked.
gemini-3.5-flash,LLM,gemini,12,The painting the artist the patron the museum selected sponsored created vanished.
gemini-3.5-flash,LLM,gemini,13,The mouse the cat the dog the boy chased bit scratched died.
gemini-3.5-flash,LLM,gemini,13,The cheese the rat the cat the dog chased caught ate smelled.
gemini-3.5-flash,LLM,gemini,13,The book the student the teacher the principal praised questioned read lost.
gemini-3.5-flash,LLM,gemini,13,The song the girl the boy the mother heard hummed sang faded.
gemini-3.5-flash,LLM,gemini,13,The toy the baby the puppy the kitten nudged chewed broke vanished.
gemini-3.5-flash,LLM,gemini,14,The mouse the cat the dog the boy chased bit scratched died.
gemini-3.5-flash,LLM,gemini,14,The book the student the teacher the principal praised assigned read lost.
gemini-3.5-flash,LLM,gemini,14,The cheese the rat the cat the dog chased caught ate smelled.
gemini-3.5-flash,LLM,gemini,14,The letter the girl the boy the mother scolded loved wrote burned.
gemini-3.5-flash,LLM,gemini,14,The car the mechanic the driver the owner hired blamed repaired crashed.
gemini-3.5-flash,LLM,gemini,15,The mouse the cat the dog the boy chased bit scratched squeaked.
