model,type,family,run_idx,sentence
claude-sonnet-4.6,LLM,claude,20,The car that the mechanic repaired finally stopped.
claude-sonnet-4.6,LLM,claude,20,The painting that the artist restored gradually faded.
claude-sonnet-4.6,LLM,claude,21,The dog the child frightened whimpered.
claude-sonnet-4.6,LLM,claude,21,The bird the cat chased escaped.
claude-sonnet-4.6,LLM,claude,21,The man the crowd surrounded trembled.
claude-sonnet-4.6,LLM,claude,21,The deer the hunter spotted fled.
claude-sonnet-4.6,LLM,claude,21,The child the teacher praised beamed.
claude-sonnet-4.6,LLM,claude,23,The song the choir performed beautifully echoed.
claude-sonnet-4.6,LLM,claude,23,The flower the gardener planted daily bloomed.
claude-sonnet-4.6,LLM,claude,25,The book that the student read glowed.
claude-sonnet-4.6,LLM,claude,25,The song that the choir performed echoed.
claude-sonnet-4.6,LLM,claude,25,The bridge that the engineers built trembled.
claude-sonnet-4.6,LLM,claude,25,The fire that the firefighters extinguished smoldered.
claude-sonnet-4.6,LLM,claude,25,The cake that the baker decorated disappeared.
claude-sonnet-4.6,LLM,claude,26,The dog that the child chased barked.
claude-sonnet-4.6,LLM,claude,26,The flower that the gardener planted bloomed.
claude-sonnet-4.6,LLM,claude,26,The bird that the cat startled flew.
claude-sonnet-4.6,LLM,claude,26,The man that the crowd followed stumbled.
claude-sonnet-4.6,LLM,claude,26,The candle that the wind touched flickered.
claude-sonnet-4.6,LLM,claude,29,The letter that the soldier wrote trembled.
claude-sonnet-4.6,LLM,claude,29,The cake that the children baked disappeared.
claude-sonnet-4.6,LLM,claude,29,The bridge that the engineers designed collapsed.
claude-sonnet-4.6,LLM,claude,29,The song that the choir performed echoed.
claude-sonnet-4.6,LLM,claude,29,The painting that the artist created survived.
claude-sonnet-4.6,LLM,claude,30,The patient that the surgeon examined recovered.
claude-sonnet-4.6,LLM,claude,30,The manuscript that the editor reviewed circulated.
claude-sonnet-4.6,LLM,claude,30,The bridge that the engineer inspected collapsed.
claude-sonnet-4.6,LLM,claude,30,The defendant that the lawyer represented fled.
claude-sonnet-4.6,LLM,claude,30,The painting that the curator restored deteriorated.
claude-sonnet-4.6-think,LRM,claude,1,The rat the cat chased ran.
claude-sonnet-4.6-think,LRM,claude,1,The dog the child startled barked.
claude-sonnet-4.6-think,LRM,claude,1,The deer the wolf stalked fled.
claude-sonnet-4.6-think,LRM,claude,1,The fish the heron hunted escaped.
claude-sonnet-4.6-think,LRM,claude,1,The bird the hawk pursued disappeared.
claude-sonnet-4.6-think,LRM,claude,2,The cake the chef baked disappeared.
claude-sonnet-4.6-think,LRM,claude,2,The letter the secretary typed arrived.
claude-sonnet-4.6-think,LRM,claude,2,The book the student borrowed vanished.
claude-sonnet-4.6-think,LRM,claude,2,The cat the dog chased fled.
claude-sonnet-4.6-think,LRM,claude,2,The report the manager reviewed circulated.
claude-sonnet-4.6-think,LRM,claude,3,The cat the dog chased ran.
claude-sonnet-4.6-think,LRM,claude,3,The book the student read disappeared.
claude-sonnet-4.6-think,LRM,claude,3,The cake the chef baked vanished.
claude-sonnet-4.6-think,LRM,claude,3,The car the mechanic fixed broke.
claude-sonnet-4.6-think,LRM,claude,3,The letter the lawyer wrote arrived.
claude-sonnet-4.6-think,LRM,claude,8,The cat the dog chased fled.
claude-sonnet-4.6-think,LRM,claude,8,The book the student read disappeared.
claude-sonnet-4.6-think,LRM,claude,8,The car the mechanic fixed broke down.
claude-sonnet-4.6-think,LRM,claude,8,The letter the secretary typed arrived.
claude-sonnet-4.6-think,LRM,claude,8,The fish the cat caught escaped.
claude-sonnet-4.6-think,LRM,claude,10,The book the student read disappeared.
claude-sonnet-4.6-think,LRM,claude,10,The cake the chef baked vanished.
claude-sonnet-4.6-think,LRM,claude,10,The letter the spy wrote burned.
claude-sonnet-4.6-think,LRM,claude,10,The car the mechanic fixed stalled.
claude-sonnet-4.6-think,LRM,claude,10,The painting the artist sold returned.
claude-sonnet-4.6-think,LRM,claude,11,The book the teacher recommended disappeared.
claude-sonnet-4.6-think,LRM,claude,11,The letter the soldier wrote survived.
claude-sonnet-4.6-think,LRM,claude,11,The painting the artist created sold.
claude-sonnet-4.6-think,LRM,claude,11,The plan the manager proposed failed.
claude-sonnet-4.6-think,LRM,claude,11,The song the musician composed enchanted.
claude-sonnet-4.6-think,LRM,claude,12,The bridge the engineer inspected collapsed overnight.
claude-sonnet-4.6-think,LRM,claude,13,The cake the chef baked disappeared.
claude-sonnet-4.6-think,LRM,claude,13,The letter the secretary typed vanished.
claude-sonnet-4.6-think,LRM,claude,13,The dog the neighbor owned escaped.
claude-sonnet-4.6-think,LRM,claude,13,The painting the artist created crumbled.
claude-sonnet-4.6-think,LRM,claude,13,The book the student borrowed reappeared.
claude-sonnet-4.6-think,LRM,claude,15,The cake the baker made disappeared.
claude-sonnet-4.6-think,LRM,claude,15,The bridge the engineer designed collapsed.
claude-sonnet-4.6-think,LRM,claude,15,The plan the team proposed failed.
claude-sonnet-4.6-think,LRM,claude,15,The car the mechanic fixed stalled.
claude-sonnet-4.6-think,LRM,claude,15,The painting the artist created sold.
claude-sonnet-4.6-think,LRM,claude,17,The cat the dog chased ran.
claude-sonnet-4.6-think,LRM,claude,17,The book the student read disappeared.
claude-sonnet-4.6-think,LRM,claude,17,The cake the chef baked vanished.
claude-sonnet-4.6-think,LRM,claude,17,The ball the child kicked flew.
claude-sonnet-4.6-think,LRM,claude,17,The letter the teacher graded arrived.
claude-sonnet-4.6-think,LRM,claude,18,The report that the analyst prepared vanished.
claude-sonnet-4.6-think,LRM,claude,18,The bridge that the engineers designed collapsed.
claude-sonnet-4.6-think,LRM,claude,18,The letter that the secretary typed disappeared.
claude-sonnet-4.6-think,LRM,claude,18,The sculpture that the artist carved crumbled.
claude-sonnet-4.6-think,LRM,claude,18,The house that the family built burned.
claude-sonnet-4.6-think,LRM,claude,20,The book the student read disappeared.
claude-sonnet-4.6-think,LRM,claude,20,The cake the chef baked vanished.
claude-sonnet-4.6-think,LRM,claude,20,The painting the artist created survived.
claude-sonnet-4.6-think,LRM,claude,20,The letter the spy wrote resurfaced.
claude-sonnet-4.6-think,LRM,claude,20,The song the musician composed endured.
claude-sonnet-4.6-think,LRM,claude,21,The rat the cat chased ran.
claude-sonnet-4.6-think,LRM,claude,21,The cake the chef baked disappeared.
claude-sonnet-4.6-think,LRM,claude,21,The book the student read vanished.
claude-sonnet-4.6-think,LRM,claude,21,The letter the lawyer wrote arrived.
claude-sonnet-4.6-think,LRM,claude,21,The dog the man trained escaped.
claude-sonnet-4.6-think,LRM,claude,24,The bridge that the engineers inspected collapsed overnight.
claude-sonnet-4.6-think,LRM,claude,25,The cake the baker prepared vanished.
claude-sonnet-4.6-think,LRM,claude,25,The letter the secretary typed arrived.
claude-sonnet-4.6-think,LRM,claude,25,The painting the artist created disappeared.
claude-sonnet-4.6-think,LRM,claude,25,The mouse the cat chased escaped.
claude-sonnet-4.6-think,LRM,claude,25,The report the analyst compiled surfaced.
claude-sonnet-4.6-think,LRM,claude,26,The deer the hunters chased fled.
claude-sonnet-4.6-think,LRM,claude,26,The cake the chef baked disappeared.
claude-sonnet-4.6-think,LRM,claude,26,The letter the student wrote vanished.
claude-sonnet-4.6-think,LRM,claude,26,The ball the children kicked rolled.
claude-sonnet-4.6-think,LRM,claude,26,The book the professor recommended sold.
claude-sonnet-4.6-think,LRM,claude,27,The rat the cat chased fled.
claude-sonnet-4.6-think,LRM,claude,27,The cake the baker made disappeared.
claude-sonnet-4.6-think,LRM,claude,27,The car the mechanic fixed stalled.
claude-sonnet-4.6-think,LRM,claude,27,The letter the teacher wrote arrived.
claude-sonnet-4.6-think,LRM,claude,27,The book the student borrowed vanished.
claude-sonnet-4.6-think,LRM,claude,28,The dog the cat chased ran.
claude-sonnet-4.6-think,LRM,claude,28,The book the student read disappeared.
claude-sonnet-4.6-think,LRM,claude,28,The cake the chef baked vanished.
claude-sonnet-4.6-think,LRM,claude,28,The letter the secretary typed arrived.
claude-sonnet-4.6-think,LRM,claude,28,The car the mechanic fixed stalled.
claude-sonnet-4.6-think,LRM,claude,30,The book that the professor recommended disappeared.
claude-sonnet-4.6-think,LRM,claude,30,The dog that the child frightened ran away.
claude-sonnet-4.6-think,LRM,claude,30,The letter that the secretary typed arrived.
claude-sonnet-4.6-think,LRM,claude,30,The witness that the lawyer questioned trembled.
claude-sonnet-4.6-think,LRM,claude,30,The athlete that the coach trained excelled.
deepseek-r1,LRM,deepseek,1,The cat the mouse chased slept.
deepseek-r1,LRM,deepseek,1,The wind the leaves scattered howled.
deepseek-r1,LRM,deepseek,1,The chef the dough kneaded laughed.
deepseek-r1,LRM,deepseek,1,The child the toy broke cried.
deepseek-r1,LRM,deepseek,1,The storm the ship sank passed.
deepseek-r1,LRM,deepseek,2,The ball the child kicked bounced.
deepseek-r1,LRM,deepseek,2,The door the wind slammed creaked.
deepseek-r1,LRM,deepseek,2,The cake the baker baked cooled.
deepseek-r1,LRM,deepseek,2,The letter the secretary typed disappeared.
deepseek-r1,LRM,deepseek,2,The bird the cat chased flew.
deepseek-r1,LRM,deepseek,3,The dog the child saw barked.
deepseek-r1,LRM,deepseek,3,The cake the baker baked delighted.
deepseek-r1,LRM,deepseek,3,The book the student read inspired.
deepseek-r1,LRM,deepseek,3,The song the audience heard resonated.
deepseek-r1,LRM,deepseek,3,The painting the artist created sold.
deepseek-r1,LRM,deepseek,4,The dog the cat chased barked.
deepseek-r1,LRM,deepseek,4,The book the student read fell.
deepseek-r1,LRM,deepseek,4,The car the mechanic fixed started.
deepseek-r1,LRM,deepseek,4,The cake the baker baked tasted.
deepseek-r1,LRM,deepseek,4,The song the band played ended.
deepseek-r1,LRM,deepseek,5,The dog the ball fetched rolled.
deepseek-r1,LRM,deepseek,5,The cat the mouse chased escaped.
deepseek-r1,LRM,deepseek,5,The wind the leaves blew scattered.
deepseek-r1,LRM,deepseek,5,The car the mechanic fixed started.
deepseek-r1,LRM,deepseek,5,The boy the girl helped smiled.
deepseek-r1,LRM,deepseek,6,The dog the cat chased escaped.
deepseek-r1,LRM,deepseek,6,The cake the baker baked burned.
deepseek-r1,LRM,deepseek,6,The ball the child kicked rolled.
deepseek-r1,LRM,deepseek,6,The door the wind opened slammed.
deepseek-r1,LRM,deepseek,6,The letter the postman delivered arrived.
deepseek-r1,LRM,deepseek,7,The cat the moon chases glows.
deepseek-r1,LRM,deepseek,7,The wind the leaves carries rustles.
deepseek-r1,LRM,deepseek,7,The child the ball kicks rolls.
deepseek-r1,LRM,deepseek,7,The chef the sauce stirs simmers.
deepseek-r1,LRM,deepseek,7,The wave the shore crashes recedes.
deepseek-r1,LRM,deepseek,8,The dog the cat chase jump.
deepseek-r1,LRM,deepseek,8,The wind the leaves rustle scatter.
deepseek-r1,LRM,deepseek,8,The chef the meal prepare serve.
deepseek-r1,LRM,deepseek,8,The rain the roof tap drum.
deepseek-r1,LRM,deepseek,8,The child the toy build create.
deepseek-r1,LRM,deepseek,9,The dog the children rescued barked loudly.
deepseek-r1,LRM,deepseek,10,The dog the cat chased escaped.
deepseek-r1,LRM,deepseek,10,The cake the baker baked rose.
deepseek-r1,LRM,deepseek,10,The ball the child threw bounced.
deepseek-r1,LRM,deepseek,10,The door the wind blew slammed.
deepseek-r1,LRM,deepseek,10,The song the band played ended.
deepseek-r1,LRM,deepseek,11,The cat the dog chases runs.
deepseek-r1,LRM,deepseek,11,The sun the moon orbits sets.
deepseek-r1,LRM,deepseek,11,The book the child reads teaches.
deepseek-r1,LRM,deepseek,11,The wind the leaves scatter blows.
deepseek-r1,LRM,deepseek,11,The chef the food prepares serves.
deepseek-r1,LRM,deepseek,12,The dog the cat chases barks.
deepseek-r1,LRM,deepseek,12,The book the student reads fascinates.
deepseek-r1,LRM,deepseek,12,The cake the baker decorates delights.
deepseek-r1,LRM,deepseek,12,The car the mechanic fixes runs.
deepseek-r1,LRM,deepseek,12,The song the choir performs inspires.
deepseek-r1,LRM,deepseek,13,the cat the mouse chased pounced.
deepseek-r1,LRM,deepseek,13,the wind the leaves blew scattered.
deepseek-r1,LRM,deepseek,13,the chef the meal prepared served.
deepseek-r1,LRM,deepseek,13,the rain the roof pounded leaked.
deepseek-r1,LRM,deepseek,13,the child the toy broke cried.
deepseek-r1,LRM,deepseek,14,The cat the ball chased bounced.
deepseek-r1,LRM,deepseek,14,The book the shelf fell landed.
deepseek-r1,LRM,deepseek,14,The car the hill rolled stopped.
deepseek-r1,LRM,deepseek,14,The sun the clouds shone disappeared.
deepseek-r1,LRM,deepseek,14,The dog the stick fetched dropped.
deepseek-r1,LRM,deepseek,15,The storm the ship tossed sank.
deepseek-r1,LRM,deepseek,15,The chef the cake baked decorated.
deepseek-r1,LRM,deepseek,15,The teacher the students taught inspired.
deepseek-r1,LRM,deepseek,15,The dog the ball fetched returned.
deepseek-r1,LRM,deepseek,15,The sun the ice melted dripped.
deepseek-r1,LRM,deepseek,16,the dog the ball chased bounced.
deepseek-r1,LRM,deepseek,16,the wind the leaves scattered swirled.
deepseek-r1,LRM,deepseek,16,the chef the meal prepared served.
deepseek-r1,LRM,deepseek,16,the rain the roof leaked damaged.
deepseek-r1,LRM,deepseek,16,the child the toy broke cried.
deepseek-r1,LRM,deepseek,17,the ball the child threw bounced.
deepseek-r1,LRM,deepseek,17,the door the wind slammed rattled.
deepseek-r1,LRM,deepseek,17,the cake the baker decorated collapsed.
deepseek-r1,LRM,deepseek,17,the letter the mailman delivered vanished.
deepseek-r1,LRM,deepseek,17,the song the singer performed echoed.
deepseek-r1,LRM,deepseek,18,The dog the man fed barked.
deepseek-r1,LRM,deepseek,18,The cake the baker made sold.
deepseek-r1,LRM,deepseek,18,The car the mechanic fixed started.
deepseek-r1,LRM,deepseek,18,The book the child read fell.
deepseek-r1,LRM,deepseek,18,The cat the woman petted purred.
deepseek-r1,LRM,deepseek,19,The dog the ball chased fetched.
deepseek-r1,LRM,deepseek,19,The wind the leaves scattered piled.
deepseek-r1,LRM,deepseek,19,The chef the meal prepared served.
deepseek-r1,LRM,deepseek,19,The storm the roof damaged leaked.
deepseek-r1,LRM,deepseek,19,The child the toy dropped cried.
deepseek-r1,LRM,deepseek,20,the cat the dog chased barked.
deepseek-r1,LRM,deepseek,20,the wind the leaves rustled fell.
deepseek-r1,LRM,deepseek,20,the sun the clouds hid vanished.
deepseek-r1,LRM,deepseek,20,the clock the time ticked stopped.
deepseek-r1,LRM,deepseek,20,the storm the waves crashed receded.
deepseek-r1,LRM,deepseek,22,The dog the trainer taught obeyed.
deepseek-r1,LRM,deepseek,22,The cake the baker decorated collapsed.
deepseek-r1,LRM,deepseek,22,The letter the secretary typed vanished.
deepseek-r1,LRM,deepseek,22,The car the mechanic fixed stalled.
deepseek-r1,LRM,deepseek,22,The book the author published sold.
deepseek-r1,LRM,deepseek,23,The cake the baker burned crumbled.
deepseek-r1,LRM,deepseek,23,The ball the child kicked bounced.
deepseek-r1,LRM,deepseek,23,The letter the secretary typed vanished.
deepseek-r1,LRM,deepseek,23,The window the storm shattered leaked.
deepseek-r1,LRM,deepseek,23,The song the audience requested ended.
deepseek-r1,LRM,deepseek,24,The cat the mouse chased pounced.
deepseek-r1,LRM,deepseek,24,The storm the ship capsized sank.
deepseek-r1,LRM,deepseek,24,The chef the cake baked frosted.
deepseek-r1,LRM,deepseek,24,The wind the leaves scattered piled.
deepseek-r1,LRM,deepseek,24,The king the decree announced enforced.
deepseek-r1,LRM,deepseek,25,The bird the cat chased flew away.
deepseek-r1,LRM,deepseek,25,The door the wind opened slammed shut.
deepseek-r1,LRM,deepseek,25,The cake the baker baked disappeared quickly.
deepseek-r1,LRM,deepseek,25,The ball the child kicked rolled far.
deepseek-r1,LRM,deepseek,26,the dog the ball chased fetched.
deepseek-r1,LRM,deepseek,26,the cat the mouse saw hid.
deepseek-r1,LRM,deepseek,26,the wind the leaves scattered piled.
deepseek-r1,LRM,deepseek,26,the chef the meal prepared served.
deepseek-r1,LRM,deepseek,26,the storm the roof damaged leaked.
deepseek-r1,LRM,deepseek,27,the cat the dog chased escaped.
deepseek-r1,LRM,deepseek,27,the ball the child kicked rolled.
deepseek-r1,LRM,deepseek,27,the door the wind blew slammed.
deepseek-r1,LRM,deepseek,27,the cake the baker baked sold.
deepseek-r1,LRM,deepseek,27,the book the author wrote published.
deepseek-r1,LRM,deepseek,28,The dog the mailman chased barked.
deepseek-r1,LRM,deepseek,28,The cake the baker made tasted delicious.
deepseek-r1,LRM,deepseek,28,The book the student read fell.
deepseek-r1,LRM,deepseek,28,The car the mechanic fixed started.
deepseek-r1,LRM,deepseek,28,The painting the artist created sold quickly.
deepseek-r1,LRM,deepseek,29,The storm the house destroyed flooded.
deepseek-r1,LRM,deepseek,29,The cat the mouse chased escaped.
deepseek-r1,LRM,deepseek,29,The wind the leaves scattered piled.
deepseek-r1,LRM,deepseek,29,The chef the meal prepared served.
deepseek-r1,LRM,deepseek,29,The wave the boat rocked sank.
deepseek-r1,LRM,deepseek,30,The cat the dog chased jumped.
deepseek-r1,LRM,deepseek,30,The ball the child kicked rolled.
deepseek-r1,LRM,deepseek,30,The cake the baker decorated sold.
deepseek-r1,LRM,deepseek,30,The car the mechanic fixed started.
deepseek-r1,LRM,deepseek,30,The book the student read fell.
deepseek-v3,LLM,deepseek,1,the cat the baker chase jump
deepseek-v3,LLM,deepseek,1,the book the teacher read discuss
deepseek-v3,LLM,deepseek,1,the cake the chef bake decorate
deepseek-v3,LLM,deepseek,1,the car the mechanic repair test
deepseek-v3,LLM,deepseek,1,the painting the artist create admire
deepseek-v3,LLM,deepseek,2,the chef the knife chop slice
deepseek-v3,LLM,deepseek,2,the gardener the shovel dig plant
deepseek-v3,LLM,deepseek,2,the painter the brush stroke blend
deepseek-v3,LLM,deepseek,2,the carpenter the hammer nail build
deepseek-v3,LLM,deepseek,2,the writer the pen write edit
deepseek-v3,LLM,deepseek,6,the artist the painter creates inspires.
deepseek-v3,LLM,deepseek,6,the musician the composer writes performs.
deepseek-v3,LLM,deepseek,6,the teacher the educator explains motivates.
deepseek-v3,LLM,deepseek,6,the chef the baker kneads bakes.
deepseek-v3,LLM,deepseek,6,the engineer the designer drafts builds.
deepseek-v3,LLM,deepseek,7,the book the teacher read wrote
deepseek-v3,LLM,deepseek,7,the car the mechanic fixed painted
deepseek-v3,LLM,deepseek,7,the cake the baker baked decorated
deepseek-v3,LLM,deepseek,7,the house the architect designed built
deepseek-v3,LLM,deepseek,7,the song the musician composed performed
deepseek-v3,LLM,deepseek,10,The chef the writer cooked wrote.
deepseek-v3,LLM,deepseek,10,The doctor the musician healed played.
deepseek-v3,LLM,deepseek,10,The teacher the artist taught painted.
deepseek-v3,LLM,deepseek,10,The engineer the gardener built planted.
deepseek-v3,LLM,deepseek,10,The pilot the photographer flew captured.
deepseek-v3,LLM,deepseek,11,The hammer the carpenter gripped tightened.
deepseek-v3,LLM,deepseek,11,The brush the painter applied smoothed.
deepseek-v3,LLM,deepseek,11,The scalpel the surgeon held sliced.
deepseek-v3,LLM,deepseek,11,The wrench the mechanic twisted loosened.
deepseek-v3,LLM,deepseek,11,The pen the writer dipped scribbled.
deepseek-v3,LLM,deepseek,12,The cat the mouse chased ran.
deepseek-v3,LLM,deepseek,12,The chef the cake baked decorated.
deepseek-v3,LLM,deepseek,12,The dog the ball fetched returned.
deepseek-v3,LLM,deepseek,12,The teacher the lesson taught explained.
deepseek-v3,LLM,deepseek,12,The wind the leaves blew scattered.
deepseek-v3,LLM,deepseek,14,the cat the dog chase bark
deepseek-v3,LLM,deepseek,14,the teacher the student teach learn
deepseek-v3,LLM,deepseek,14,the chef the meal prepare serve
deepseek-v3,LLM,deepseek,14,the wind the leaves rustle fall
deepseek-v3,LLM,deepseek,14,the sun the flowers bloom wilt
deepseek-v3,LLM,deepseek,15,The book the teacher assigned read.
deepseek-v3,LLM,deepseek,15,The cake the baker made decorated.
deepseek-v3,LLM,deepseek,15,The car the driver fixed repaired.
deepseek-v3,LLM,deepseek,15,The song the musician composed performed.
deepseek-v3,LLM,deepseek,15,The house the architect designed built.
deepseek-v3,LLM,deepseek,17,The dog the boy saw barked loudly.
deepseek-v3,LLM,deepseek,17,The cake the baker made tasted delicious.
deepseek-v3,LLM,deepseek,17,The car the mechanic fixed ran smoothly.
deepseek-v3,LLM,deepseek,17,The book the librarian recommended inspired readers.
deepseek-v3,LLM,deepseek,18,The dog the child pets happiness.
deepseek-v3,LLM,deepseek,18,The rain the garden nourishes calm.
deepseek-v3,LLM,deepseek,18,The music the audience inspires joy.
deepseek-v3,LLM,deepseek,18,The book the reader captivates curiosity.
deepseek-v3,LLM,deepseek,18,The storm the town frightens fear.
deepseek-v3,LLM,deepseek,20,The hammer the carpenter swung missed.
deepseek-v3,LLM,deepseek,20,The brush the painter dropped rolled.
deepseek-v3,LLM,deepseek,20,The scalpel the surgeon used slipped.
deepseek-v3,LLM,deepseek,20,The pen the writer held clicked.
deepseek-v3,LLM,deepseek,20,The wrench the mechanic tightened slipped.
deepseek-v3,LLM,deepseek,22,the book the student read enjoyed
deepseek-v3,LLM,deepseek,22,the car the driver repaired fixed
deepseek-v3,LLM,deepseek,22,the cake the baker baked decorated
deepseek-v3,LLM,deepseek,22,the painting the artist created admired
deepseek-v3,LLM,deepseek,22,the song the musician composed performed
deepseek-v3,LLM,deepseek,23,The cake the baker prepared rose.
deepseek-v3,LLM,deepseek,23,The book the author wrote inspired.
deepseek-v3,LLM,deepseek,23,The song the musician composed resonated.
deepseek-v3,LLM,deepseek,23,The painting the artist created dazzled.
deepseek-v3,LLM,deepseek,23,The meal the chef cooked satisfied.
deepseek-v3,LLM,deepseek,24,The dog the cat chased barked.
deepseek-v3,LLM,deepseek,24,The sun the clouds covered dimmed.
deepseek-v3,LLM,deepseek,24,The book the child read fell.
deepseek-v3,LLM,deepseek,24,The car the driver stopped honked.
deepseek-v3,LLM,deepseek,24,The wind the leaves scattered blew.
deepseek-v3,LLM,deepseek,27,The book that the author wrote captivates readers.
deepseek-v3,LLM,deepseek,27,The car that the mechanic repaired runs smoothly.
deepseek-v3,LLM,deepseek,29,The teacher the students admired started lecturing.
deepseek-v3,LLM,deepseek,29,The dog the boy fed barked loudly.
deepseek-v3,LLM,deepseek,29,The cake the baker decorated tasted delicious.
gemini-3.5-flash,LLM,gemini,1,the cat the dog chased fled
gemini-3.5-flash,LLM,gemini,1,the man the police caught smiled
gemini-3.5-flash,LLM,gemini,1,the student the teacher helped triumphed
gemini-3.5-flash,LLM,gemini,1,the boy the girl kicked cried
gemini-3.5-flash,LLM,gemini,1,the horse the jockey rode collapsed
gemini-3.5-flash,LLM,gemini,2,The cake the baker made collapsed.
gemini-3.5-flash,LLM,gemini,2,The car the student bought stalled.
gemini-3.5-flash,LLM,gemini,2,The book the author wrote disappeared.
gemini-3.5-flash,LLM,gemini,2,The dog the family adopted barked.
gemini-3.5-flash,LLM,gemini,2,The letter the girl sent arrived.
gemini-3.5-flash,LLM,gemini,4,The dog the boy trained barked.
gemini-3.5-flash,LLM,gemini,4,The ice the sun melted dripped.
gemini-3.5-flash,LLM,gemini,4,The ship the storm battered sank.
gemini-3.5-flash,LLM,gemini,4,A child a dog chased tripped.
gemini-3.5-flash,LLM,gemini,4,The teacher the student watched smiled.
gemini-3.5-flash,LLM,gemini,5,The dog the boy chased barked.
gemini-3.5-flash,LLM,gemini,5,A car a mechanic fixed crashed.
gemini-3.5-flash,LLM,gemini,5,The letter the woman wrote arrived.
gemini-3.5-flash,LLM,gemini,5,A cat the girl held purred.
gemini-3.5-flash,LLM,gemini,5,The bell the actor rang chimed.
gemini-3.5-flash,LLM,gemini,6,The boy the dog bit ran.
gemini-3.5-flash,LLM,gemini,6,The teacher the student annoyed resigned.
gemini-3.5-flash,LLM,gemini,6,The driver the police stopped wept.
gemini-3.5-flash,LLM,gemini,6,The actor the director praised bowed.
gemini-3.5-flash,LLM,gemini,6,The baby the mother cradled slept.
gemini-3.5-flash,LLM,gemini,8,The mouse the cat chased escaped.
gemini-3.5-flash,LLM,gemini,8,The book the student read inspired.
gemini-3.5-flash,LLM,gemini,8,The car the mechanic repaired broke.
gemini-3.5-flash,LLM,gemini,8,The song the musician played ended.
gemini-3.5-flash,LLM,gemini,8,The letter the postman delivered burned.
gemini-3.5-flash,LLM,gemini,10,The dog the boy adopted escaped.
gemini-3.5-flash,LLM,gemini,11,The child the dog chased tripped.
gemini-3.5-flash,LLM,gemini,11,A cat the boy adopted slept.
gemini-3.5-flash,LLM,gemini,11,The teacher a student called smiled.
gemini-3.5-flash,LLM,gemini,11,A worker the boss hired quit.
gemini-3.5-flash,LLM,gemini,11,The actor the director cast bowed.
gemini-3.5-flash,LLM,gemini,12,The target the archer missed vanished.
gemini-3.5-flash,LLM,gemini,12,The song the choir sang resonated.
gemini-3.5-flash,LLM,gemini,13,The dog the cat chased ran.
gemini-3.5-flash,LLM,gemini,13,The boy the girl helped smiled.
