model_key,model_type,template,run_idx,l1_sentences_count,induced_prompt_chars,induced_prompt_words,prompt_shorter_than_l1,l2_sentences_count,mean_sim,mean_max_sim,l1_error,induction_error
gemini-3.5-flash,LLM,center_embedding,9,5,227.0,34.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding,9,5,73.0,10.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding,10,5,213.0,30.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding,10,5,225.0,38.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding,10,5,78.0,11.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding,10,5,195.0,40.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding,11,5,138.0,19.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding,11,5,209.0,33.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding,11,5,169.0,25.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding,11,5,182.0,29.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding,12,5,265.0,42.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding,12,5,155.0,21.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding,12,5,161.0,26.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding,12,5,154.0,33.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding,13,5,148.0,23.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding,13,5,219.0,34.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding,13,5,128.0,17.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding,13,5,191.0,28.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding,14,5,116.0,16.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding,14,5,160.0,23.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding,15,5,165.0,23.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding,14,5,145.0,18.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding,14,5,104.0,17.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding,15,5,170.0,24.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding,15,5,221.0,31.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding,15,5,163.0,27.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding,16,5,137.0,18.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding,16,5,224.0,33.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding,16,5,168.0,22.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding,16,5,141.0,19.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding,17,5,156.0,21.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding,17,5,194.0,32.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding,17,5,169.0,27.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding,17,5,210.0,28.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding,18,5,227.0,33.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding,18,5,96.0,13.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding,18,5,123.0,20.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding,19,5,176.0,25.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding,19,5,193.0,25.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding,19,5,164.0,29.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding,19,5,191.0,26.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding,20,5,164.0,21.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding,20,5,130.0,18.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding,20,5,302.0,62.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding,18,5,111.0,15.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding,21,5,103.0,14.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding,21,5,133.0,19.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding,20,5,121.0,17.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding,21,5,240.0,44.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding,21,5,166.0,22.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding,22,5,133.0,19.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding,22,5,157.0,22.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding,22,5,142.0,19.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding,22,5,201.0,34.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding,23,5,162.0,26.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding,23,5,143.0,19.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding,23,5,181.0,31.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding,24,5,159.0,24.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding,23,5,159.0,35.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding,24,5,134.0,19.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding,24,5,164.0,31.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding,24,5,212.0,32.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding,25,5,151.0,20.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding,25,5,161.0,21.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding,25,5,214.0,32.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding,25,5,135.0,24.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding,26,5,152.0,20.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding,26,5,176.0,28.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding,26,5,161.0,19.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding,26,5,169.0,22.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding,27,5,103.0,18.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding,27,5,192.0,25.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding,27,5,154.0,21.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding,28,5,130.0,19.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding,28,5,89.0,13.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding,27,5,148.0,24.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding,28,5,309.0,56.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding,29,5,150.0,22.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding,28,5,171.0,31.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding,29,5,139.0,19.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding,29,5,120.0,16.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding,30,5,142.0,21.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding,29,5,260.0,38.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding,30,5,119.0,17.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding,30,5,137.0,24.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding,30,5,163.0,29.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding_depth2,1,5,178.0,27.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding_depth2,1,5,112.0,18.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding_depth2,1,5,113.0,16.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding_depth2,1,5,89.0,14.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding_depth2,2,5,188.0,27.0,False,5,,,,
gemini-3.5-flash,LLM,center_embedding_depth2,2,5,227.0,30.0,False,5,,,,
claude-sonnet-4.6,LLM,center_embedding_depth2,2,5,136.0,21.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding_depth2,2,5,124.0,17.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding_depth2,3,5,129.0,21.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding_depth2,3,5,113.0,15.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding_depth2,3,5,159.0,22.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding_depth2,3,5,103.0,14.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding_depth2,4,5,132.0,22.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding_depth2,4,5,168.0,27.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding_depth2,4,5,184.0,27.0,False,5,,,,
claude-sonnet-4.6,LLM,center_embedding_depth2,5,5,168.0,26.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding_depth2,4,5,104.0,14.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding_depth2,5,5,162.0,25.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding_depth2,5,5,241.0,35.0,False,5,,,,
gemini-3.5-flash-think,LRM,center_embedding_depth2,5,5,106.0,14.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding_depth2,6,5,119.0,16.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding_depth2,6,5,,,,0,,,,"Error code: 402 - {'error': {'message': 'This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 60697. To increase, visit https://openrouter.ai/settings/credits and add more credits', 'code': 402, 'metadata': {'provider_name': None, 'previous_errors': [{'code': 402, 'message': 'This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 60697. To increase, visit https://openrouter.ai/settings/credits and add more credits'}, {'code': 402, 'message': 'This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 60697. To increase, visit https://openrouter.ai/settings/credits and add more credits'}, {'code': 402, 'message': 'This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 60697. To increase, visit https://openrouter.ai/settings/credits and add more credits'}, {'code': 402, 'message': 'This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 60697. To increase, visit https://openrouter.ai/settings/credits and add more credits'}, {'code': 402, 'message': 'This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 60697. To increase, visit https://openrouter.ai/settings/credits and add more credits'}]}}, 'user_id': 'user_3D5jt7uWqldfsYvXwdM6ww3AoH5'}"
gemini-3.5-flash,LLM,center_embedding_depth2,6,5,118.0,20.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding_depth2,6,5,89.0,13.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding_depth2,7,5,157.0,21.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding_depth2,7,5,113.0,14.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding_depth2,8,5,121.0,20.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding_depth2,8,5,110.0,15.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding_depth2,8,5,111.0,14.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding_depth2,7,5,171.0,27.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding_depth2,9,5,116.0,19.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding_depth2,9,5,139.0,21.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding_depth2,9,5,,,,0,,,,"Error code: 402 - {'error': {'message': 'This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 46499. To increase, visit https://openrouter.ai/settings/credits and add more credits', 'code': 402, 'metadata': {'provider_name': None, 'previous_errors': [{'code': 402, 'message': 'This request requires more credits, or fewer max_tokens. You requested up to 65536 tokens, but can only afford 46499. To increase, visit https://openrouter.ai/settings/credits and add more credits'}]}}, 'user_id': 'user_3D5jt7uWqldfsYvXwdM6ww3AoH5'}"
claude-sonnet-4.6-think,LRM,center_embedding_depth2,8,5,116.0,15.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding_depth2,10,5,135.0,24.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding_depth2,7,5,159.0,25.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding_depth2,10,5,170.0,25.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding_depth2,9,5,130.0,20.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding_depth2,11,5,129.0,21.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding_depth2,11,5,125.0,16.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding_depth2,10,5,77.0,11.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding_depth2,10,5,198.0,26.0,False,5,,,,
claude-sonnet-4.6,LLM,center_embedding_depth2,12,5,130.0,21.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding_depth2,12,5,205.0,27.0,False,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding_depth2,11,5,119.0,16.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding_depth2,11,5,111.0,14.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding_depth2,13,5,145.0,21.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding_depth2,13,5,111.0,19.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding_depth2,12,5,142.0,22.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding_depth2,12,5,101.0,16.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding_depth2,14,5,136.0,21.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding_depth2,14,5,114.0,15.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding_depth2,13,5,158.0,22.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding_depth2,13,5,136.0,17.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding_depth2,15,5,153.0,24.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding_depth2,15,5,239.0,35.0,False,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding_depth2,14,5,153.0,25.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding_depth2,16,5,166.0,25.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding_depth2,14,5,111.0,14.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding_depth2,16,5,210.0,28.0,False,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding_depth2,15,5,179.0,28.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding_depth2,15,5,110.0,14.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding_depth2,16,5,144.0,22.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding_depth2,17,5,121.0,20.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding_depth2,17,5,37.0,6.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding_depth2,16,5,105.0,14.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding_depth2,18,5,153.0,23.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding_depth2,18,5,120.0,15.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding_depth2,17,5,124.0,16.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding_depth2,17,5,118.0,15.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding_depth2,19,5,146.0,24.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding_depth2,19,5,152.0,19.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding_depth2,18,5,175.0,25.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding_depth2,18,5,147.0,18.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding_depth2,20,5,144.0,21.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding_depth2,20,5,162.0,24.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding_depth2,19,5,76.0,11.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding_depth2,19,5,141.0,22.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding_depth2,21,5,158.0,24.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding_depth2,20,5,200.0,30.0,False,5,,,,
gemini-3.5-flash,LLM,center_embedding_depth2,21,5,184.0,26.0,False,5,,,,
gemini-3.5-flash-think,LRM,center_embedding_depth2,20,5,76.0,12.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding_depth2,22,5,66.0,9.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding_depth2,22,5,130.0,20.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding_depth2,21,5,159.0,20.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding_depth2,23,5,157.0,22.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding_depth2,21,5,111.0,14.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding_depth2,23,5,131.0,16.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding_depth2,22,5,152.0,26.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding_depth2,22,5,115.0,16.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding_depth2,24,5,124.0,20.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding_depth2,24,5,134.0,20.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding_depth2,23,5,142.0,21.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding_depth2,23,5,111.0,14.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding_depth2,25,5,140.0,20.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding_depth2,25,5,173.0,21.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding_depth2,24,5,121.0,19.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding_depth2,24,5,116.0,15.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding_depth2,26,5,177.0,27.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding_depth2,26,5,121.0,16.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding_depth2,25,5,160.0,23.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding_depth2,25,5,111.0,14.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding_depth2,27,5,123.0,18.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding_depth2,27,5,243.0,37.0,False,5,,,,
gemini-3.5-flash-think,LRM,center_embedding_depth2,26,5,122.0,17.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding_depth2,26,5,183.0,28.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding_depth2,28,5,166.0,25.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding_depth2,28,5,59.0,8.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding_depth2,27,5,129.0,17.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding_depth2,27,5,102.0,14.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding_depth2,28,5,142.0,19.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding_depth2,29,5,196.0,29.0,False,5,,,,
claude-sonnet-4.6,LLM,center_embedding_depth2,29,5,173.0,27.0,True,5,,,,
claude-sonnet-4.6,LLM,center_embedding_depth2,30,5,143.0,22.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding_depth2,28,5,119.0,18.0,True,5,,,,
gemini-3.5-flash,LLM,center_embedding_depth2,30,5,221.0,33.0,False,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding_depth2,29,5,209.0,31.0,False,5,,,,
gemini-3.5-flash-think,LRM,center_embedding_depth2,29,5,134.0,19.0,True,5,,,,
gemini-3.5-flash-think,LRM,center_embedding_depth2,30,5,130.0,16.0,True,5,,,,
claude-sonnet-4.6-think,LRM,center_embedding_depth2,30,5,177.0,26.0,True,5,,,,
